type,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.47460533822736434,0.8691192566562924,0.7918570835064396,0.7917474383827194,0.7919667590027701,0.8048558815891976,"[[3340 751], [ 752 2859]]",0 days 00:00:02.018252
val,1,5.526067917163555,0.43166096427388045,0.6274428274428274,1.0,0.45713420175704333,0.45713420175704333,"[[  0 1792], [  0 1509]]",0 days 00:00:01.648192
inference,1,12.775762928856743,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.810176
train,2,0.332744104727622,0.9364837647750724,0.8705173829728989,0.8806424813071172,0.8606224627875507,0.8771747598026487,"[[3576 515], [ 431 3180]]",0 days 00:00:02.078636
val,2,14.09900503892165,0.5374403504567831,0.6271574131836141,0.9993373094764745,0.45696969696969697,0.45683126325355955,"[[  0 1792], [  1 1508]]",0 days 00:00:01.648924
inference,2,5.1321153110928,0.7098644841269841,0.7728536385936222,0.8439285714285715,0.7128205128205128,0.6980434782608695,"[[ 848 952], [ 437 2363]]",0 days 00:00:01.845817
train,3,0.3314079228908785,0.9390854731675214,0.8799114554510238,0.8806424813071172,0.8791816422449544,0.8873019994806544,"[[3654 437], [ 431 3180]]",0 days 00:00:02.068861
val,3,4.028252546603863,0.7897973024945565,0.02098360655737705,0.010603048376408217,1.0,0.5477128142986973,"[[1792  0], [1493  16]]",0 days 00:00:01.655062
inference,3,30.153005811903213,0.7968101190476191,0.1729200652528548,0.09464285714285714,1.0,0.4489130434782609,"[[1800  0], [2535 265]]",0 days 00:00:01.765809
train,4,0.29911386726364014,0.9483238259802724,0.8861175825681787,0.8953198559955691,0.8771025501899078,0.8921059465074007,"[[3638 453], [ 378 3233]]",0 days 00:00:02.027905
val,4,4.410672591282771,0.6971918489065607,0.6335717290702566,0.9980119284294234,0.46409861325115565,0.472281126931233,"[[ 53 1739], [  3 1506]]",0 days 00:00:01.653817
inference,4,2.289351761341095,0.8450118055555556,0.7432,0.6635714285714286,0.8445454545454546,0.7208695652173913,"[[1458 342], [ 942 1858]]",0 days 00:00:01.835763
train,5,0.3104426207080964,0.9479195302167845,0.8901220865704772,0.8883965660481861,0.8918543230469836,0.8971695663464035,"[[3702 389], [ 403 3208]]",0 days 00:00:02.033349
val,5,0.9103304422818698,0.8969405294423932,0.6082614616432138,0.4440026507620941,0.9654178674351584,0.7385640714934868,"[[1768  24], [ 839 670]]",0 days 00:00:01.630805
inference,5,21.034686618381077,0.7864300595238094,0.32083958020989506,0.19107142857142856,1.0,0.5076086956521739,"[[1800  0], [2265 535]]",0 days 00:00:01.800128
train,6,0.2983759045600891,0.9499023563961416,0.8881450488145048,0.8817502076986984,0.8946333239674066,0.8958712022851207,"[[3716 375], [ 427 3184]]",0 days 00:00:01.994929
val,6,0.6705975051109607,0.9161641016993278,0.694033008887008,0.5434062292909212,0.9601873536299765,0.7809754619812178,"[[1758  34], [ 689 820]]",0 days 00:00:01.588881
inference,6,26.28346273634169,0.796961507936508,0.2516390883546675,0.14392857142857143,1.0,0.47891304347826086,"[[1800  0], [2397 403]]",0 days 00:00:01.756951
train,7,0.2898116813551995,0.949274267950512,0.8931958762886598,0.8997507615618943,0.886735807860262,0.8991171124383277,"[[3676 415], [ 362 3249]]",0 days 00:00:02.047538
val,7,7.598938648517315,0.5573199567476096,0.6286787726988102,0.9980119284294234,0.45886654478976235,0.46107240230233265,"[[ 16 1776], [  3 1506]]",0 days 00:00:01.610637
inference,7,18.758717854817707,0.7654169642857144,0.5135278514588859,0.3457142857142857,0.9979381443298969,0.601304347826087,"[[1798  2], [1832 968]]",0 days 00:00:01.776142
train,8,0.2758856353259856,0.9542515904951334,0.8982933259331206,0.8964275823871504,0.9001668520578421,0.904829914307972,"[[3732 359], [ 374 3237]]",0 days 00:00:02.064123
val,8,5.828831049112173,0.6115096992450062,0.6307627829002515,0.9973492379058979,0.46123199509653695,0.4662223568615571,"[[ 34 1758], [  4 1505]]",0 days 00:00:01.635135
inference,8,11.3846951590644,0.8033994047619047,0.5833123266952357,0.4132142857142857,0.9914310197086547,0.6406521739130435,"[[1790  10], [1643 1157]]",0 days 00:00:01.769195
train,9,0.2763314078892431,0.953727613708649,0.8930245381858285,0.896981445582941,0.8891023881416416,0.899246948844456,"[[3687 404], [ 372 3239]]",0 days 00:00:02.051223
val,9,2.205968086536114,0.8549421477089842,0.13818630475015423,0.07422133863485753,1.0,0.5767949106331415,"[[1792  0], [1397 112]]",0 days 00:00:01.666150
inference,9,27.06552685631646,0.8094440476190475,0.24506424318395487,0.13964285714285715,1.0,0.47630434782608694,"[[1800  0], [2409 391]]",0 days 00:00:01.814966
train,10,0.279714927557976,0.9524315318609095,0.8932280847528044,0.8931044032124066,0.8933518005540166,0.8998961308750973,"[[3706 385], [ 386 3225]]",0 days 00:00:02.050467
val,10,0.3663422969671396,0.9420641330587902,0.8633049817739976,0.9416832339297548,0.7969713965227145,0.8636776734322933,"[[1430 362], [ 88 1421]]",0 days 00:00:01.651750
inference,10,12.870399369133843,0.8238331349206349,0.5622593068035944,0.39107142857142857,1.0,0.6293478260869565,"[[1800  0], [1705 1095]]",0 days 00:00:01.765249
train,11,0.28123717298430784,0.953997979096572,0.8947513812154696,0.896981445582941,0.8925323780655828,0.9010646585302519,"[[3701 390], [ 372 3239]]",0 days 00:00:02.063636
val,11,0.4428598880767822,0.9359253703966676,0.8224719101123595,0.7276341948310139,0.9457364341085271,0.8564071493486822,"[[1729  63], [ 411 1098]]",0 days 00:00:01.665228
