dataset,epoch,loss,roc_auc_avg,f1,recall,precision,accuracy,confusion_matrix,0vr_roc_auc,1vr_roc_auc,2vr_roc_auc,time
train,6,0.5947232494751612,0.823541007503191,0.6351327701155678,0.7024414222513518,0.6145082684145463,0.7024414222513518,"[[ 424    0  427]
 [ 343    2  746]
 [ 292    8 3861]]",0.8529965194838204,0.7678490961746804,0.8497774068510723,0 days 00:00:02.934278
val,6,0.5984275407261319,0.8184941173178387,0.631217947030818,0.7,0.5753745695706735,0.7,"[[ 258    0  413]
 [ 243    0  527]
 [ 195    2 2962]]",0.8378031975159681,0.7567857990573394,0.8608933553802086,0 days 00:00:02.070132
train,7,0.5922202666600546,0.8260589085048573,0.6415773169915523,0.6927740455513682,0.6502500120975696,0.6927740455513682,"[[ 425    0  426]
 [ 379   45  667]
 [ 333   70 3758]]",0.8509486174143944,0.7761546440696316,0.851073464030546,0 days 00:00:02.909149
val,7,0.6015517976548936,0.8188193930163473,0.6337413693323748,0.6891304347826087,0.5878711617410511,0.6891304347826087,"[[ 328    0  343]
 [ 333    0  437]
 [ 315    2 2842]]",0.8335376555317391,0.7637706418907463,0.8591498816265567,0 days 00:00:02.075698
train,8,0.5770351861913999,0.8356997510374752,0.6504247333807593,0.711453383581845,0.6904593777501202,0.711453383581845,"[[ 360    0  491]
 [ 274   59  758]
 [ 204   34 3923]]",0.8599154885207404,0.784784619571141,0.862399145020544,0 days 00:00:02.936704
val,8,0.6083296802308824,0.8201584238580444,0.6394457859518976,0.697391304347826,0.5912272349933512,0.697391304347826,"[[ 336    0  335]
 [ 318    0  452]
 [ 285    2 2872]]",0.8397509595620324,0.755317893594656,0.8654064184174447,0 days 00:00:02.026177
train,9,0.5860847011208534,0.8318445439191183,0.6470396422181063,0.7088317221038833,0.6842638711194492,0.7088317221038833,"[[ 289    0  562]
 [ 224   83  784]
 [ 162   45 3954]]",0.8520973040990261,0.7843629002584449,0.8590734273998837,0 days 00:00:02.916429
val,9,0.590033448404736,0.8256961155172743,0.6354625110913931,0.7043478260869566,0.5794371129906511,0.7043478260869566,"[[ 266    0  405]
 [ 252    0  518]
 [ 183    2 2974]]",0.841585307615541,0.7703158590756503,0.8651871798606319,0 days 00:00:02.085253
train,10,0.5706075578927994,0.8430117317608969,0.6832628273020923,0.727183352449615,0.7306417473854346,0.727183352449615,"[[ 463    0  388]
 [ 363  116  612]
 [ 258   44 3859]]",0.8559897275997148,0.8005825432344591,0.8724629244485167,0 days 00:00:02.913959
val,10,0.5909129215611352,0.8259545771618558,0.6413066199796382,0.7130434782608696,0.7509714549731799,0.7130434782608696,"[[ 266    0  405]
 [ 236    1  533]
 [ 146    0 3013]]",0.8461647294621105,0.763087043504798,0.8686119585186591,0 days 00:00:02.048544
train,11,0.48663196464379627,0.890081862508786,0.7316656261970532,0.7599541209241357,0.746577617703164,0.7599541209241357,"[[ 537   66  248]
 [ 400  209  482]
 [ 192   77 3892]]",0.8955789210847326,0.8515180432223891,0.9231486232192363,0 days 00:00:02.927550
val,11,0.5380494462119209,0.8731532609163343,0.7269237196225314,0.7432608695652174,0.7366890651766678,0.7432608695652174,"[[ 172  319  180]
 [  81  338  351]
 [  19  231 2909]]",0.9036561409125237,0.8019589027160829,0.9138447391203964,0 days 00:00:02.061921
train,12,0.44164807349443436,0.9078590353795205,0.7754198101212582,0.7909224971325578,0.8000184768111791,0.7909224971325578,"[[ 600   65  186]
 [ 466  314  311]
 [ 190   58 3913]]",0.9021316259800979,0.8773603297091563,0.9440851504493073,0 days 00:00:02.886338
val,12,0.6362869077258639,0.849191079234064,0.6408929733723048,0.7117391304347827,0.6143914276675942,0.7117391304347827,"[[ 224   15  432]
 [  98   10  662]
 [  18  101 3040]]",0.9073388715269811,0.7620050184802143,0.8782293476949964,0 days 00:00:02.069292
train,13,0.40721257279316586,0.9215684643973888,0.7846549239072944,0.8019007045715222,0.8151207870933247,0.8019007045715222,"[[ 610   40  201]
 [ 443  326  322]
 [ 161   42 3958]]",0.912931831463902,0.8946643545865723,0.9571092071416921,0 days 00:00:02.986258
val,13,0.5695953932073381,0.8616833489447698,0.7220403207115816,0.7552173913043478,0.7214289365570948,0.7552173913043478,"[[ 562   25   84]
 [ 445   50  275]
 [ 171  126 2862]]",0.9149800918615408,0.7716700010172596,0.8983999539555094,0 days 00:00:02.083266
train,14,0.38583696881930035,0.9280300125301543,0.8051308917185802,0.8168114042274291,0.825614957724159,0.8168114042274291,"[[ 641   58  152]
 [ 449  386  256]
 [ 134   69 3958]]",0.9198575127331046,0.9004336430330725,0.9637988818242859,0 days 00:00:02.935809
val,14,0.6114804976516299,0.8577657946538989,0.7212961881175883,0.7465217391304347,0.7335218645034418,0.7465217391304347,"[[ 596   23   52]
 [ 506   54  210]
 [ 229  146 2784]]",0.921204206255673,0.755075107659964,0.8970180700460598,0 days 00:00:02.048390
train,15,0.41845060015718144,0.9167554765681264,0.7908656178170089,0.8004260199901688,0.7955982004443486,0.8004260199901688,"[[ 575  103  173]
 [ 401  409  281]
 [ 116  144 3901]]",0.9107827984280847,0.8854960743162333,0.9539875569600609,0 days 00:00:02.917875
val,15,0.6053105394045512,0.8588745147228432,0.7159093036612427,0.753695652173913,0.7086242721628019,0.753695652173913,"[[ 549   15  107]
 [ 436   38  296]
 [ 155  124 2880]]",0.9162003353867968,0.773755043911702,0.8866681648700308,0 days 00:00:02.045042
train,16,0.3836746762196223,0.9308677785711836,0.8041784130032679,0.8169752580698018,0.8160000116194011,0.8169752580698018,"[[ 626   76  149]
 [ 398  394  299]
 [ 107   88 3966]]",0.9281097548424282,0.9017754273337025,0.9627181535374205,0 days 00:00:02.914898
val,16,0.631705062256919,0.8567066154366986,0.7291040873532016,0.7443478260869565,0.7524845384451836,0.7443478260869565,"[[ 601   30   40]
 [ 494   92  184]
 [ 260  168 2731]]",0.925326558332913,0.7596056423993761,0.8851876455778067,0 days 00:00:02.043633
train,17,0.3829791409273942,0.9302565145662967,0.8121517150601745,0.8194330657053908,0.815589471430366,0.8194330657053908,"[[ 601  110  140]
 [ 365  471  255]
 [  93  139 3929]]",0.9272335847884707,0.9002069643305197,0.9633289945798994,0 days 00:00:02.895389
val,17,0.6024968591001298,0.8609230876531154,0.7347578740726678,0.7654347826086957,0.7244705441275417,0.7654347826086957,"[[ 474   46  151]
 [ 269  109  392]
 [  72  149 2938]]",0.9262092150575851,0.7755020175646807,0.8810580303370804,0 days 00:00:02.027190
train,18,0.3715411288042863,0.9345789937928304,0.8118944262708963,0.8222185810257251,0.8209462768780665,0.8222185810257251,"[[ 620   91  140]
 [ 389  430  272]
 [ 101   92 3968]]",0.9296956315897341,0.9075807429721373,0.9664606068166197,0 days 00:00:02.947577
val,18,0.598515197634697,0.8633931003197947,0.760512234036453,0.7732608695652174,0.7616822927424117,0.7732608695652174,"[[ 527   76   68]
 [ 337  177  256]
 [ 111  195 2853]]",0.9272635100151382,0.7787584347767115,0.8841573561675344,0 days 00:00:02.006211
train,19,0.36720669890443486,0.935781117533662,0.8207833183952115,0.8263149270850402,0.8223863386856323,0.8263149270850402,"[[ 594  137  120]
 [ 348  509  234]
 [  82  139 3940]]",0.9303196454509413,0.9093636317750322,0.9676600753750126,0 days 00:00:02.942344
val,19,0.6092427223920822,0.8617874424870126,0.7493610248261939,0.7710869565217391,0.7385779660294428,0.7710869565217391,"[[ 417  106  148]
 [ 191  176  403]
 [  44  161 2954]]",0.9269393887554768,0.7755572886643385,0.8828656500412226,0 days 00:00:02.018952
train,20,0.39589323351780575,0.926713537918181,0.8041807595049849,0.8145174504342126,0.8109875374285571,0.8145174504342126,"[[ 616   93  142]
 [ 376  421  294]
 [ 110  117 3934]]",0.928779635624233,0.892758205238683,0.958602772891627,0 days 00:00:02.951966
val,20,0.5990148716502719,0.8678470952860641,0.7407793873138317,0.7610869565217391,0.7535677765649739,0.7610869565217391,"[[ 583   32   56]
 [ 452  100  218]
 [ 184  157 2818]]",0.9252184546945238,0.7726747143196229,0.9056481168440456,0 days 00:00:02.007918
train,21,0.36625643943746883,0.9360082504264801,0.8199906455635192,0.828445027035884,0.8279139752950492,0.828445027035884,"[[ 628   94  129]
 [ 388  459  244]
 [  92  100 3969]]",0.9308340261848657,0.9088852199268045,0.9683055051677697,0 days 00:00:02.913497
val,21,0.5760795242256589,0.8659655955669322,0.7787159775925067,0.7791304347826087,0.779200761751652,0.7791304347826087,"[[ 453  157   61]
 [ 242  297  231]
 [  63  262 2834]]",0.9275113897614097,0.7814072089790104,0.8889781879603762,0 days 00:00:02.036818
train,22,0.3515622454384963,0.9405145239062932,0.8254932624917279,0.8315582500409635,0.8285919581687743,0.8315582500409635,"[[ 594  133  124]
 [ 358  510  223]
 [  83  107 3971]]",0.9328519469500959,0.9165008562401655,0.972190768528618,0 days 00:00:02.993995
val,22,0.6075456076198154,0.8629329014266411,0.7595937143141231,0.7726086956521739,0.7609167013260005,0.7726086956521739,"[[ 520   75   76]
 [ 332  179  259]
 [ 118  186 2855]]",0.9267853884846488,0.7785371808348309,0.8834761349604437,0 days 00:00:02.079778
train,23,0.354421503841877,0.9393492693386434,0.8301910164915927,0.8338522038341799,0.8318830051019794,0.8338522038341799,"[[ 596  142  113]
 [ 338  552  201]
 [  82  138 3941]]",0.932297740304628,0.9142430302928334,0.9715070374184688,0 days 00:00:02.947705
val,23,0.6556559767987993,0.8588376086179857,0.7386236067876873,0.7619565217391304,0.7293010661270842,0.7619565217391304,"[[ 339  148  184]
 [ 139  187  444]
 [  26  154 2979]]",0.9242986254906862,0.7667542640127496,0.8854599363505214,0 days 00:00:02.049906
train,24,0.37333819642663,0.9341739175928732,0.8227006353885836,0.8289365885630018,0.822697178468115,0.8289365885630018,"[[ 568  141  142]
 [ 307  533  251]
 [  80  123 3958]]",0.9291051788899399,0.9075033850930088,0.9659131887956705,0 days 00:00:02.916673
val,24,0.6167303936349021,0.865321895841261,0.7559859271615306,0.773695652173913,0.7513262766977958,0.773695652173913,"[[ 514   77   80]
 [ 306  158  306]
 [  86  186 2887]]",0.9274211137405793,0.7817835949950832,0.8867609787881203,0 days 00:00:02.013859
train,25,0.3682489978770415,0.9353794998832812,0.8215338648754466,0.8279534655087661,0.824942446055937,0.8279534655087661,"[[ 612  122  117]
 [ 357  493  241]
 [  88  125 3948]]",0.9336435428772923,0.9052974053838159,0.9671975513887351,0 days 00:00:02.912414
val,25,0.5951397683885362,0.8666514077625553,0.7489200316384584,0.7704347826086957,0.7489858356298826,0.7704347826086957,"[[ 545   49   77]
 [ 383  120  267]
 [ 107  173 2879]]",0.9283606671170352,0.7773181648638567,0.8942753913067739,0 days 00:00:02.038152
train,26,0.3443050819138686,0.9434036060644488,0.8337882057447414,0.8384401114206128,0.8348368248748375,0.8384401114206128,"[[ 595  152  104]
 [ 327  550  214]
 [  73  116 3972]]",0.9367367632541975,0.9198373033957731,0.9736367515433759,0 days 00:00:02.907492
val,26,0.6114679127931595,0.8648664000617154,0.7527069886146038,0.7745652173913044,0.7478319619045144,0.7745652173913044,"[[ 512   56  103]
 [ 330  139  301]
 [  74  173 2912]]",0.9276817004057489,0.7787779322505171,0.8881395675288805,0 days 00:00:02.023258
train,27,0.3419664806375901,0.944009402915881,0.8338784705521599,0.8395870883172211,0.8348878920234309,0.8395870883172211,"[[ 592  134  125]
 [ 325  546  220]
 [  62  113 3986]]",0.9369410388566652,0.9208248507889041,0.9742623191020736,0 days 00:00:02.927606
val,27,0.6431714942057928,0.8625940046858308,0.7556065693775864,0.7719565217391304,0.7605038058989173,0.7719565217391304,"[[ 544   59   68]
 [ 374  149  247]
 [ 134  167 2858]]",0.927734424636402,0.7762391916177818,0.8838083978033087,0 days 00:00:02.064969
train,28,0.3444608636200428,0.9425745249128257,0.8334603437977812,0.837948549893495,0.8368156878787238,0.837948549893495,"[[ 615  123  113]
 [ 365  535  191]
 [  71  126 3964]]",0.9355605564172074,0.9183600056473081,0.9738030126739616,0 days 00:00:02.923099
val,28,0.643568131658766,0.8597711522272949,0.7500917795782062,0.7689130434782608,0.7410744518029774,0.7689130434782608,"[[ 360  143  168]
 [ 157  213  400]
 [  23  172 2964]]",0.9259186628224759,0.7674836390763284,0.8859111547830801,0 days 00:00:02.034878
train,29,0.3471860947708289,0.9415100935211641,0.828604703135961,0.8343437653612977,0.8297865398711687,0.8343437653612977,"[[ 588  141  122]
 [ 327  533  231]
 [  76  114 3971]]",0.9359597104969466,0.9161444247829043,0.9724261452836414,0 days 00:00:02.924203
val,29,0.6257352746195264,0.8641520722864428,0.7782643843478823,0.7847826086956522,0.7745449435181333,0.7847826086956522,"[[ 464  126   81]
 [ 240  265  265]
 [  62  216 2881]]",0.9298350490202587,0.7767508731477399,0.8858702946913295,0 days 00:00:02.028181
train,30,0.34364287182688713,0.9431600032304276,0.8334830787060484,0.8390955267901032,0.8393248831069385,0.8390955267901032,"[[ 636  100  115]
 [ 380  513  198]
 [  74  115 3972]]",0.9391684931396512,0.916745365659539,0.9735661508920926,0 days 00:00:02.887840
val,30,0.6613823970158895,0.8552390175675311,0.7404373292189136,0.7606521739130435,0.7291028166196728,0.7606521739130435,"[[ 353  178  140]
 [ 166  182  422]
 [  30  165 2964]]",0.9292325134778685,0.7544182971075921,0.8820662421171327,0 days 00:00:02.022020
train,31,0.3403991870582104,0.9445393092290016,0.8372541044035468,0.841225626740947,0.8360608622473603,0.841225626740947,"[[ 566  165  120]
 [ 290  596  205]
 [  59  130 3972]]",0.9367208776377954,0.9225245295799706,0.9743725204692386,0 days 00:00:02.909914
val,31,0.65681325395902,0.8619839080822614,0.7714823699045985,0.782608695652174,0.7660031641541092,0.782608695652174,"[[ 469  108   94]
 [ 261  226  283]
 [  56  198 2905]]",0.9276699417643803,0.7739961344138889,0.884285648068515,0 days 00:00:02.064761
train,32,0.32842738553881645,0.9481068889676886,0.8398414233346233,0.8443388497460266,0.842413328436417,0.8443388497460266,"[[ 618  125  108]
 [ 331  559  201]
 [  72  113 3976]]",0.9413426970465284,0.9261683965814766,0.9768095732750608,0 days 00:00:02.942489
val,32,0.6722177068392435,0.861829389563888,0.7733798854141024,0.7778260869565218,0.7768383708157943,0.7778260869565218,"[[ 514   98   59]
 [ 325  236  209]
 [  94  237 2828]]",0.9289979096170135,0.7713166728832525,0.885173586191398,0 days 00:00:02.031619
train,33,0.3233591603736083,0.9489375922317734,0.8450335497535918,0.8479436342782238,0.8453482447979728,0.8479436342782238,"[[ 606  151   94]
 [ 306  601  184]
 [  57  136 3968]]",0.9418492468427897,0.9269246018538094,0.978038927998721,0 days 00:00:02.906337
val,33,0.6759175227748023,0.8635631793298515,0.7714977689062351,0.7815217391304348,0.7688821219641186,0.7815217391304348,"[[ 493   84   94]
 [ 291  224  255]
 [  69  212 2878]]",0.9283272877479888,0.7770418093655691,0.8853204408759965,0 days 00:00:02.036084
train,34,0.32941274469097453,0.9474427949845637,0.8380212948490718,0.8427003113223005,0.8415542650808435,0.8427003113223005,"[[ 628  122  101]
 [ 355  540  196]
 [  69  117 3975]]",0.9416926280895286,0.9241238077194018,0.9765119491447608,0 days 00:00:02.927834
val,34,0.6975272364086575,0.8607702215725491,0.7743203503435948,0.7771739130434783,0.7784761796665729,0.7771739130434783,"[[ 499  114   58]
 [ 307  254  209]
 [ 115  222 2822]]",0.9244359360769908,0.7746075073751315,0.8832672212655249,0 days 00:00:02.032952
train,35,0.3339780159294605,0.946030156578081,0.8420933812225604,0.8459773881697525,0.842030549857543,0.8459773881697525,"[[ 605  144  102]
 [ 290  590  211]
 [  62  131 3968]]",0.9419215152103658,0.9211949981821813,0.9749739563416958,0 days 00:00:02.962254
val,35,0.6615882052315606,0.8601891701617608,0.7632632612216118,0.7771739130434783,0.7545944259171049,0.7771739130434783,"[[ 414  135  122]
 [ 196  228  346]
 [  45  181 2933]]",0.9253060755382707,0.7713458343223356,0.8839156006246761,0 days 00:00:02.016564
train,36,0.33482233186562854,0.9460644415526275,0.8390882476974434,0.8428641651646731,0.8394002075314053,0.8428641651646731,"[[ 598  157   96]
 [ 317  574  200]
 [  61  128 3972]]",0.9401771179106522,0.9220550788099395,0.9759611279372904,0 days 00:00:02.961905
val,36,0.6809108489089541,0.8612829110685668,0.7772009879233392,0.7834782608695652,0.7725092647887501,0.7834782608695652,"[[ 393  171  107]
 [ 175  303  292]
 [  34  217 2908]]",0.9273706653759977,0.7726516564375573,0.883826411392145,0 days 00:00:02.024718
train,37,0.32830827683210373,0.9481063752625776,0.843535486092613,0.8467966573816156,0.8432757978486096,0.8467966573816156,"[[ 596  157   98]
 [ 293  602  196]
 [  60  131 3970]]",0.9421996253679422,0.9253843022392454,0.9767351981805451,0 days 00:00:02.919419
val,37,0.6782998641331991,0.8619865120366771,0.775599135032792,0.782608695652174,0.7723625116125914,0.782608695652174,"[[ 470  126   75]
 [ 254  252  264]
 [  72  209 2878]]",0.9294147724190823,0.77211929063104,0.8844254730599089,0 days 00:00:02.028228
train,38,0.324718667815129,0.9492564735599984,0.8482937192116727,0.8517122726527937,0.8474182764725826,0.8517122726527937,"[[ 602  155   94]
 [ 279  614  198]
 [  45  134 3982]]",0.9445800066764337,0.9264021161311843,0.9767872978723773,0 days 00:00:02.914206
val,38,0.6960484517945184,0.8630556856200302,0.7670653122825042,0.775,0.7713694700389137,0.775,"[[ 523   89   59]
 [ 355  201  214]
 [ 111  207 2841]]",0.9302924981006001,0.7735437930215998,0.8853307657378905,0 days 00:00:02.039188
train,39,0.31766778603196144,0.9513055600713652,0.8517093556711403,0.8541700802883828,0.8515919755569239,0.8541700802883828,"[[ 609  154   88]
 [ 288  628  175]
 [  50  135 3976]]",0.9452988867539018,0.9299797808815213,0.9786380125786723,0 days 00:00:02.919100
val,39,0.6959376666280959,0.8620410537905111,0.7761263759992479,0.7847826086956522,0.7699465067743362,0.7847826086956522,"[[ 404  156  111]
 [ 182  280  308]
 [  25  208 2926]]",0.9302048772568531,0.7719222813739784,0.8839960027407016,0 days 00:00:02.077141
train,40,0.31523651878039044,0.9519786654333884,0.8512184585602258,0.8538423726036376,0.8508292943005027,0.8538423726036376,"[[ 608  160   83]
 [ 283  625  183]
 [  49  134 3978]]",0.9474233082713496,0.9294020656565398,0.9791106223722759,0 days 00:00:02.921269
val,40,0.7006513840622373,0.8607698688206646,0.7710252440538434,0.7845652173913044,0.7662092870712603,0.7845652173913044,"[[ 493   99   79]
 [ 269  206  295]
 [  70  179 2910]]",0.929801669651212,0.769362856464684,0.8831450803460981,0 days 00:00:02.022228
train,41,0.3120993549625079,0.9521908088404724,0.8505762806936005,0.853678518761265,0.8501719823759185,0.853678518761265,"[[ 609  155   87]
 [ 282  618  191]
 [  50  128 3983]]",0.9471507916406755,0.9294935052299779,0.9799281296507637,0 days 00:00:02.954363
val,41,0.6951728893650903,0.8613481432117812,0.7746579733837027,0.7832608695652173,0.7708203771812431,0.7832608695652173,"[[ 481  107   83]
 [ 265  239  266]
 [  60  216 2883]]",0.927120699419161,0.7730541521142041,0.8838695781019785,0 days 00:00:02.013056
test,41,0.537053546971745,0.886481211547251,0.7361201577343416,0.758695652173913,0.7495938327581051,0.758695652173913,"[[ 199  363  224]
 [  84  510  282]
 [  17  140 2781]]",0.8789353806986714,0.8481250827656224,0.9323831711774588,0 days 00:00:01.976230
