dataset,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
val,18,0.32350035355641293,0.9345074068630456,0.8628244017526121,0.8404464871963231,0.8864265927977839,0.8767040290820963,"[[1614  164]
 [ 243 1280]]",0 days 00:00:01.132446
train,19,0.2887479638861072,0.9455093828364167,0.8823445318084346,0.8744686880136016,0.8903635314483554,0.8931446377564269,"[[3793  380]
 [ 443 3086]]",0 days 00:00:02.385088
val,19,0.31698647370705235,0.9386630348159861,0.873165960221715,0.8791858174655286,0.8672279792746114,0.8821569221448046,"[[1573  205]
 [ 184 1339]]",0 days 00:00:01.100627
train,20,0.2902422648283743,0.9463976444667807,0.8805948805948806,0.8724851232643809,0.8888568129330254,0.8915866008828875,"[[3788  385]
 [ 450 3079]]",0 days 00:00:02.376270
val,20,0.3098542713201963,0.9411871365718156,0.8725617685305592,0.8811556139198949,0.8641339343206696,0.8812481066343533,"[[1567  211]
 [ 181 1342]]",0 days 00:00:01.141651
train,21,0.2816985900844297,0.9472421754580529,0.8809728183118741,0.8724851232643809,0.8896272753539439,0.8919761101012724,"[[3791  382]
 [ 450 3079]]",0 days 00:00:02.390331
val,21,0.3182608416447273,0.9435797708477511,0.8701666142722414,0.9087327642810243,0.8347406513872135,0.8748863980611936,"[[1504  274]
 [ 139 1384]]",0 days 00:00:01.107475
train,22,0.2868220753246738,0.9481515554560526,0.8810888252148997,0.8713516576933975,0.8910460736018545,0.892235782913529,"[[3797  376]
 [ 454 3075]]",0 days 00:00:02.366993
val,22,0.3069880260871007,0.9443981189810235,0.874880611270296,0.902166776099803,0.8491965389369592,0.8809451681308694,"[[1534  244]
 [ 149 1374]]",0 days 00:00:01.124000
train,23,0.28065809030686656,0.9504948794069907,0.8855136839088694,0.8756021535845848,0.8956521739130435,0.8962607115035056,"[[3813  360]
 [ 439 3090]]",0 days 00:00:02.405603
val,23,0.3135523475133456,0.9453191299216291,0.875,0.9054497701904136,0.8465316144874155,0.8806422296273856,"[[1528  250]
 [ 144 1379]]",0 days 00:00:01.144989
train,24,0.28035445030658473,0.9502653275041206,0.8851851851851852,0.8804193822612638,0.8900028645087368,0.8953518566606077,"[[3789  384]
 [ 422 3107]]",0 days 00:00:02.371074
val,24,0.2929231822490692,0.9466766424387366,0.8800521512385919,0.886408404464872,0.8737864077669902,0.8885186307179642,"[[1583  195]
 [ 173 1350]]",0 days 00:00:01.128096
train,25,0.2652256483993223,0.952611842976856,0.8896522112494633,0.8807027486540097,0.8987854251012146,0.8998961308750973,"[[3823  350]
 [ 421 3108]]",0 days 00:00:02.398586
val,25,0.32061314238951755,0.9469547183161529,0.8697007481296758,0.9159553512803676,0.827893175074184,0.8733717055437746,"[[1488  290]
 [ 128 1395]]",0 days 00:00:01.153673
train,26,0.268538671395471,0.9520475208088919,0.8865832859579307,0.8838197789742137,0.889364128885087,0.8963905479096339,"[[3785  388]
 [ 410 3119]]",0 days 00:00:02.400949
val,26,0.29023027420043945,0.9475393054528721,0.8779527559055118,0.8785292186474064,0.8773770491803279,0.8873068767040291,"[[1591  187]
 [ 185 1338]]",0 days 00:00:01.129338
train,27,0.26559967715894023,0.9542460379463793,0.8913229018492176,0.8877869084726552,0.8948871750928307,0.9008049857179953,"[[3805  368]
 [ 396 3133]]",0 days 00:00:02.419888
val,27,0.29065131682616013,0.9486353601728872,0.8791989664082688,0.8936309914642153,0.8652256834075016,0.8867009996970615,"[[1566  212]
 [ 162 1361]]",0 days 00:00:01.141600
train,28,0.26153981108819285,0.9546664021098812,0.8936654804270463,0.88948710682913,0.897883295194508,0.903012204622176,"[[3816  357]
 [ 390 3139]]",0 days 00:00:02.688951
val,28,0.3110396059659811,0.9486700734962301,0.8703819661865999,0.912672357189757,0.8318372232196289,0.8745834595577098,"[[1497  281]
 [ 133 1390]]",0 days 00:00:01.107486
train,29,0.27137772017909634,0.9520172353041794,0.8849206349206349,0.8846698781524511,0.8851715338814857,0.8945728382238379,"[[3768  405]
 [ 407 3122]]",0 days 00:00:02.369520
val,29,0.29211177504979646,0.9485570705500289,0.87997432605905,0.9001969796454367,0.8606403013182674,0.8867009996970615,"[[1556  222]
 [ 152 1371]]",0 days 00:00:01.112653
train,30,0.26131665370156687,0.9545433587588973,0.8938166311300639,0.8909039387928591,0.8967484312606959,0.903012204622176,"[[3811  362]
 [ 385 3144]]",0 days 00:00:02.352131
val,30,0.2949903756380081,0.9493829891421156,0.8784512853062519,0.9087327642810243,0.8501228501228502,0.8839745531657074,"[[1534  244]
 [ 139 1384]]",0 days 00:00:01.137104
train,31,0.2626649607573786,0.9557928055900795,0.8923906871095968,0.8906205724001134,0.8941678520625889,0.901584004154765,"[[3801  372]
 [ 386 3143]]",0 days 00:00:02.423869
val,31,0.28484185383870053,0.9493632320910641,0.8775645268034414,0.8706500328299409,0.8845897264843229,0.8879127537109966,"[[1605  173]
 [ 197 1326]]",0 days 00:00:01.115245
train,32,0.25839243348567714,0.95728976512233,0.8944223107569721,0.8906205724001134,0.8982566447556445,0.9036613866528175,"[[3817  356]
 [ 386 3143]]",0 days 00:00:02.374597
val,32,0.28613616869999814,0.9492989755138125,0.8780325689597873,0.8673670387393303,0.8889636608344549,0.8888215692214481,"[[1613  165]
 [ 202 1321]]",0 days 00:00:01.123492
train,33,0.25571166219249847,0.9566350278209029,0.8945714285714286,0.8872201756871635,0.9020455200230482,0.9041807322773305,"[[3833  340]
 [ 398 3131]]",0 days 00:00:02.358256
val,33,0.2865832791878627,0.9500955354973273,0.8800259403372244,0.8910045961917269,0.8693145419602819,0.8879127537109966,"[[1574  204]
 [ 166 1357]]",0 days 00:00:01.099137
train,34,0.2530279322977989,0.9579011113082612,0.8978029766123317,0.8974213658260131,0.8981849120816789,0.9063879511815113,"[[3814  359]
 [ 362 3167]]",0 days 00:00:02.368761
val,34,0.28936578448002154,0.9494725421305266,0.8733356094230112,0.8397898883782009,0.9096728307254623,0.8876098152075129,"[[1651  127]
 [ 244 1279]]",0 days 00:00:01.123533
train,35,0.26147920518152173,0.9565240375575569,0.8936291240045506,0.8903372060073675,0.8969454753068798,0.9028823682160477,"[[3812  361]
 [ 387 3142]]",0 days 00:00:02.380230
val,35,0.28794699563429904,0.9495312593476701,0.8809201623815968,0.8548916611950098,0.9085833914863922,0.8933656467737049,"[[1647  131]
 [ 221 1302]]",0 days 00:00:01.115660
train,36,0.27564232724328197,0.9522030226155987,0.885997171145686,0.8875035420799093,0.8844959051115504,0.8953518566606077,"[[3764  409]
 [ 397 3132]]",0 days 00:00:02.390455
val,36,0.2869645082033597,0.9493850202408217,0.878032345013477,0.855548260013132,0.9017301038062284,0.890336261738867,"[[1636  142]
 [ 220 1303]]",0 days 00:00:01.105100
train,37,0.25554035459795305,0.9584626833351022,0.9008393797126192,0.8971379994332672,0.9045714285714286,0.90950402492859,"[[3839  334]
 [ 363 3166]]",0 days 00:00:02.365455
val,37,0.2779798232592069,0.9511003754208991,0.8815134417524062,0.8719632304661852,0.8912751677852349,0.891850954256286,"[[1616  162]
 [ 195 1328]]",0 days 00:00:01.130724
train,38,0.25719010012765087,0.9585718062186735,0.9007655231074567,0.9002550297534713,0.9012765957446809,0.9091145157102052,"[[3825  348]
 [ 352 3177]]",0 days 00:00:02.404897
val,38,0.2918567359447479,0.949912367323093,0.8759023719491235,0.8365068942875903,0.9191919191919192,0.8906392002423508,"[[1666  112]
 [ 249 1274]]",0 days 00:00:01.124354
train,39,0.25228975569048234,0.9577922260912066,0.897249536839105,0.8920374043638425,0.9025229357798165,0.9063879511815113,"[[3833  340]
 [ 381 3148]]",0 days 00:00:02.348588
val,39,0.27966688917233395,0.9510660313882302,0.8838926174496644,0.8647406434668418,0.9039121482498285,0.8951832777946077,"[[1638  140]
 [ 206 1317]]",0 days 00:00:01.131118
train,40,0.24470646607299004,0.9591381315758506,0.8995420721236406,0.8906205724001134,0.908644116796762,0.9088548428979486,"[[3857  316]
 [ 386 3143]]",0 days 00:00:02.388017
val,40,0.27915187982412487,0.9518614834997234,0.8858887817422051,0.9047931713722915,0.8677581863979849,0.8924568312632536,"[[1568  210]
 [ 145 1378]]",0 days 00:00:01.118250
train,41,0.24756730227701126,0.9595100117699249,0.8987161198288159,0.8926041371493341,0.9049123814995691,0.9078161516489224,"[[3842  331]
 [ 379 3150]]",0 days 00:00:02.377125
val,41,0.2755449162079738,0.95214916093466,0.8861498540382744,0.896913985554826,0.8756410256410256,0.8936685852771887,"[[1584  194]
 [ 157 1366]]",0 days 00:00:01.094920
train,42,0.24903966822931844,0.9600390913886835,0.9018098902664956,0.8965712666477755,0.9071100917431193,0.9105427161776162,"[[3849  324]
 [ 365 3164]]",0 days 00:00:02.386363
val,42,0.2912764480480781,0.9519866730381619,0.884310618066561,0.9159553512803676,0.8547794117647058,0.8894274462284156,"[[1541  237]
 [ 128 1395]]",0 days 00:00:01.155682
train,43,0.247640480918269,0.9596372991658517,0.8992601024473534,0.8954378010767923,0.9031151757645042,0.908075824461179,"[[3834  339]
 [ 369 3160]]",0 days 00:00:02.398572
val,43,0.2798639169106117,0.9509404725591178,0.8847043277172117,0.8791858174655286,0.8902925531914894,0.8942744622841563,"[[1613  165]
 [ 184 1339]]",0 days 00:00:01.115883
train,44,0.24671091860340488,0.9599181870363508,0.9030242794263807,0.9011051289317087,0.9049516220830962,0.9113217346143859,"[[3839  334]
 [ 349 3180]]",0 days 00:00:02.355629
val,44,0.27874619456437916,0.9517795009701268,0.8845161290322581,0.9001969796454367,0.8693722257450857,0.8915480157528022,"[[1572  206]
 [ 152 1371]]",0 days 00:00:01.128512
train,45,0.2392049047254747,0.9605995769400191,0.9038107380648817,0.9039387928591669,0.9036827195467422,0.911841080238899,"[[3833  340]
 [ 339 3190]]",0 days 00:00:02.365630
val,45,0.2853910762530107,0.951773223028671,0.880464480874317,0.8463558765594222,0.9174377224199288,0.8939715237806726,"[[1662  116]
 [ 234 1289]]",0 days 00:00:01.135822
train,46,0.24860835291685596,0.9580331180821644,0.8953356086461889,0.8920374043638425,0.898658292891807,0.9044404050895871,"[[3818  355]
 [ 381 3148]]",0 days 00:00:02.357113
val,46,0.3026526833956058,0.9515387234507702,0.8659866338374956,0.8082731451083388,0.9325757575757576,0.884580430172675,"[[1689   89]
 [ 292 1231]]",0 days 00:00:01.138081
train,47,0.24364961683750153,0.9596564143442745,0.8970147121839738,0.8897704732218759,0.9043778801843319,0.9063879511815113,"[[3841  332]
 [ 389 3140]]",0 days 00:00:02.340275
val,47,0.2726234277853599,0.9523973242674936,0.8850498338870432,0.8745896257386737,0.8957632817753867,0.8951832777946077,"[[1623  155]
 [ 191 1332]]",0 days 00:00:01.134435
train,48,0.24912062527671938,0.9588166706356975,0.897033656588705,0.891187305185605,0.9029572207866782,0.906258114775383,"[[3835  338]
 [ 384 3145]]",0 days 00:00:02.374052
val,48,0.27843744250444263,0.950162007818622,0.8854097268487675,0.8726198292843073,0.8985801217038539,0.8957891548015753,"[[1628  150]
 [ 194 1329]]",0 days 00:00:01.111095
train,49,0.24482544439454232,0.9599216162246645,0.8991404011461318,0.8892037404363843,0.9093016516951609,0.908595170085692,"[[3860  313]
 [ 391 3138]]",0 days 00:00:02.379891
val,49,0.2844129284987083,0.9524767217623733,0.883823994935106,0.9166119500984898,0.8533007334963325,0.8888215692214481,"[[1538  240]
 [ 127 1396]]",0 days 00:00:01.119254
train,50,0.24307708009596793,0.9598356488503017,0.8993460335513221,0.8962879002550298,0.9024251069900142,0.908075824461179,"[[3831  342]
 [ 366 3163]]",0 days 00:00:02.350610
val,50,0.2741013616323471,0.9527603369998972,0.8835016835016835,0.8614576493762311,0.9067035245335177,0.8951832777946077,"[[1643  135]
 [ 211 1312]]",0 days 00:00:01.117221
test,50,0.3864084747102525,0.9089306818181818,0.831029502785228,0.8391666666666666,0.8230486309767062,0.8219565217391305,"[[1767  433]
 [ 386 2014]]",0 days 00:00:01.951091
