ID,y_pred,y_true,mask
polyID22_S21,0.9435975551605225,1.0,1.0
polyID17_S51,0.9761324524879456,1.0,1.0
polyID11_S140,0.9642950296401978,0.0,1.0
polyID12_S127,0.4626157283782959,1.0,1.0
polyID17_S71,0.9856841564178467,1.0,1.0
polyID6_S123,0.9856749176979065,1.0,1.0
polyID22_S59,0.8148217797279358,1.0,1.0
polyID20_S74,0.313632994890213,1.0,1.0
polyID19_S13,0.6544283628463745,0.0,1.0
polyID2_S86,0.29891157150268555,0.0,1.0
polyID3_S87,0.5629864931106567,1.0,1.0
polyID20_S108,0.3635430335998535,1.0,1.0
polyID21_S69,0.7373034358024597,1.0,1.0
polyID7_S56,0.04972913861274719,0.0,1.0
polyID21_S154,0.9357874989509583,1.0,1.0
polyID3_S173,0.43859919905662537,1.0,1.0
polyID12_S126,0.9550573825836182,1.0,1.0
polyID12_S89,0.8330499529838562,1.0,1.0
polyID15_S114,0.4682711660861969,0.0,1.0
polyID15_S109,0.4381176829338074,0.0,1.0
polyID18_S29,0.9813522696495056,1.0,1.0
polyID20_S55,0.6009532809257507,1.0,1.0
polyID6_S116,0.9854206442832947,1.0,1.0
polyID23_S103,0.9813661575317383,1.0,1.0
polyID7_S86,0.03355923295021057,0.0,1.0
polyID12_S106,0.2525738477706909,1.0,1.0
polyID12_S193,0.9769560694694519,1.0,1.0
polyID23_S97,0.9877184629440308,1.0,1.0
polyID4_S19,0.7920015454292297,1.0,1.0
polyID13_S52,0.5240654945373535,0.0,1.0
polyID19_S7,0.12856446206569672,0.0,1.0
polyID14_S126,0.26110759377479553,0.0,1.0
polyID3_S80,0.608780562877655,1.0,1.0
polyID21_S152,0.6855636835098267,1.0,1.0
polyID7_S118,0.07975553721189499,0.0,1.0
polyID11_S10,0.2084822952747345,0.0,1.0
polyID5_S8,0.9825370907783508,1.0,1.0
polyID23_S39,0.9892058372497559,1.0,1.0
polyID7_S73,0.07143977284431458,0.0,1.0
polyID3_S57,0.5703317523002625,1.0,1.0
polyID11_S108,0.551788866519928,0.0,1.0
polyID18_S22,0.9731693863868713,1.0,1.0
polyID2_S40,0.11702726781368256,0.0,1.0
polyID22_S168,0.7774028182029724,1.0,1.0
polyID19_S175,0.5397090315818787,0.0,1.0
polyID23_S118,0.9917625188827515,1.0,1.0
polyID1_S83,0.09614632278680801,0.0,1.0
polyID15_S163,0.6679694652557373,0.0,1.0
polyID14_S84,0.3375866413116455,0.0,1.0
polyID4_S58,0.7818096280097961,1.0,1.0
polyID23_S174,0.9908532500267029,1.0,1.0
polyID20_S71,0.7280271649360657,1.0,1.0
polyID20_S94,0.7448641657829285,1.0,1.0
polyID14_S64,0.3111012578010559,0.0,1.0
polyID22_S123,0.9541614651679993,1.0,1.0
polyID19_S147,0.8056879043579102,0.0,1.0
polyID4_S92,0.46239933371543884,1.0,1.0
polyID11_S53,0.84586501121521,0.0,1.0
polyID20_S81,0.5668134689331055,1.0,1.0
polyID8_S198,0.06667535752058029,0.0,1.0
polyID16_S144,0.5440869927406311,1.0,1.0
polyID18_S72,0.9839778542518616,1.0,1.0
polyID16_S142,0.5340732336044312,1.0,1.0
polyID12_S36,0.6477744579315186,1.0,1.0
polyID2_S30,0.12594686448574066,0.0,1.0
polyID15_S107,0.3566560745239258,0.0,1.0
polyID11_S121,0.5695585012435913,0.0,1.0
polyID19_S71,0.8789274096488953,0.0,1.0
polyID2_S190,0.2948320508003235,0.0,1.0
polyID21_S81,0.9572451114654541,1.0,1.0
polyID6_S62,0.9875934720039368,1.0,1.0
polyID9_S187,0.0864255279302597,0.0,1.0
polyID14_S138,0.18285270035266876,0.0,1.0
polyID11_S131,0.3881300985813141,0.0,1.0
polyID19_S22,0.8951926827430725,0.0,1.0
