label,prediction
1,0.6501349210739136
1,0.5899254083633423
0,0.4956530034542084
0,0.3704454302787781
0,0.539863646030426
1,0.9980518817901611
0,0.5081258416175842
0,0.40578922629356384
0,0.5174423456192017
1,0.5390902161598206
1,0.6293993592262268
1,0.9999997615814209
1,0.9729191064834595
0,0.3600212633609772
0,0.5132797956466675
1,0.6898080706596375
0,0.36087238788604736
1,0.635949432849884
1,0.9891146421432495
1,0.5468642115592957
1,0.48737189173698425
0,0.417590469121933
1,0.9979167580604553
0,0.37418514490127563
1,0.9726544618606567
1,0.6248847842216492
0,0.35556212067604065
1,0.6208041906356812
0,0.5243708491325378
1,0.7680330872535706
0,0.41278374195098877
1,0.5802872180938721
1,0.8890568614006042
0,0.42186692357063293
1,0.9862521290779114
0,0.3774162828922272
0,0.4314590394496918
1,0.9736941456794739
1,0.6280298829078674
1,0.6528614163398743
0,0.3308665454387665
1,0.9986298084259033
0,0.36831873655319214
0,0.07464899122714996
1,0.5144727230072021
1,0.6477012038230896
1,0.9976457953453064
1,0.9952109456062317
0,0.4111577272415161
1,0.9972885847091675
0,0.42458710074424744
1,0.9960953593254089
1,0.6421045064926147
1,0.9999991655349731
1,0.9882043600082397
1,0.7622647285461426
1,0.7051527500152588
1,0.9730706810951233
1,0.7378162741661072
1,0.502886176109314
0,0.41277527809143066
0,0.42302656173706055
0,0.40905651450157166
0,0.35492634773254395
0,0.4050411880016327
1,0.9960689544677734
1,0.9713439345359802
0,0.43412142992019653
0,0.2806752920150757
0,0.5245102643966675
0,0.5124315023422241
1,0.4713546931743622
0,0.43171289563179016
1,0.9985609650611877
0,0.41797009110450745
1,0.995832622051239
0,0.4071558713912964
1,0.5416490435600281
0,0.37906113266944885
1,0.9999996423721313
0,0.41447657346725464
0,0.4622017741203308
1,0.6997874975204468
1,0.9989308714866638
0,0.3527376353740692
1,0.9984713196754456
1,0.7563416361808777
1,0.9959725737571716
1,0.5948546528816223
1,0.999998927116394
1,0.7686908841133118
0,0.42263397574424744
1,0.9957349300384521
1,0.6375215649604797
0,0.24898761510849
1,0.996738851070404
0,0.4285566508769989
1,0.6133551597595215
1,0.679180920124054
1,0.998580813407898
0,0.29114511609077454
1,0.6535282731056213
1,0.997999370098114
1,0.9886993765830994
0,0.4145147204399109
1,0.9987842440605164
0,0.4942660331726074
0,0.3537081182003021
1,0.9985221028327942
1,0.9999991655349731
1,0.9875200986862183
1,0.5065186023712158
1,0.9726990461349487
0,0.40277454257011414
1,0.7025635838508606
1,0.9983338713645935
0,0.34916624426841736
1,0.9999997615814209
0,0.3578032851219177
1,0.641143262386322
1,0.9935103058815002
1,0.5075047612190247
0,0.3738589286804199
1,0.9982829093933105
1,0.7009979486465454
0,0.4884510636329651
1,0.9971733093261719
0,0.4014674723148346
1,0.9613264799118042
0,0.4110027849674225
1,0.7113578915596008
1,0.9986829161643982
1,0.5121471285820007
1,0.9963799118995667
0,0.3276626169681549
1,0.5802419781684875
0,0.3444531559944153
1,0.6018671989440918
0,0.39476636052131653
